label,band,epoch,offset_arcsec,sigma_pos_arcsec,snr,ren2026_offset,ra_centroid,dec_centroid
C,W1,2010.78,0.7432693220774366,0.10670460595644998,24.27480540722606,0.82,74.01244672708664,-74.17060543270264
C,W2,2010.78,0.68877958788141,0.19765330173641163,13.749439330406927,0.76,74.01251693479647,-74.17043203744164
C,W3,2010.29,3.7235224645632936,0.30336537046399953,9.09822014776588,3.67,74.01353148082934,-74.16955643202625
C,W4,2010.29,4.799511160782441,1.6718044713413474,3.04792904231531,4.98,74.01454522631929,-74.16937268213863
C,W3u,2010.29,3.6013169096231,0.26254515582099947,10.512800805861444,,74.01397071436907,-74.16966910074214
C,W4u,2010.29,5.183917585359139,1.5395893857159717,3.3096755852887694,,74.01448419309192,-74.16923625423132
D,W1,2010.46,0.1484938044189708,0.03600821553562883,71.93451569641422,0.53,351.96381632089754,5.107307327242301
D,W2,2010.46,0.2255389729374508,0.07259701858408366,37.43434832012817,0.46,351.963840247593,5.10729091711643
D,W3,2010.46,1.4123984916759398,0.20903349574929156,13.20403180263695,0.75,351.96416797817926,5.107344016868613
D,W4,2010.46,2.5549448821273812,0.5011265635867025,10.168172616521613,1.8,351.96399034264965,5.107970527445922
D,W3u,2010.46,1.0650060352430881,0.21864107681065256,12.62381692384505,,351.96407060768905,5.107340419125385
D,W4u,2010.46,2.15278883174851,0.9725545576409415,5.23933733201949,,351.9640668949797,5.107817139157955
I,W1,2010.36,0.21161183331953046,0.02469191550781748,104.90209011234823,0.24,144.97638728033976,7.00773129853232
I,W2,2010.36,0.32968877428385596,0.06355290740104667,42.76156971906919,0.4,144.97641565487663,7.007714463398632
I,W3,2010.35,2.6365950967898324,1.148499199402126,2.4032101434000457,2.1,144.97606312113817,7.007083291913584
I,W4,2010.35,5.48563736349459,0.9850508568943176,5.172871396040588,3.22,144.97595279610368,7.009238338048276
I,W3u,2010.35,4.286100150994482,1.425466868688769,1.9362673284921135,,144.9760884610209,7.006598523145259
I,W4u,2010.35,1.1131928454351758,2.2267291011437464,2.2883526328625203,,144.97660612947718,7.0076065436664505
