source_id,release,source_id_dr3,nss_solution_type,orbit_source,orbit_period_d,orbit_significance,orbit_a0_mas,queue_bin,queue_rank,n_transits_fetched,n_transits_used,f2_single_star,parallax_mas,excess_noise_mas,fit_model,fit_seconds,verdict,verdict_scope,verdict_basis,verdict_confidence,verdict_confidence_basis,flag_alias_1yr,flag_low_lat,flag_hi_sigma_ti2,flag_xray_active,flag_dust_unresolved_south,flag_dust_sigma_fragile,flag_astrom_quiet,schema_version,verdict_source,verdict_source_version,config_version,epoch_data_release,epoch_data_structure,gaiasupdate_version,produced_utc,run_id,notes
1349949010439190912,"SYNTHETIC (M8 rehearsal, not a real release)",1349949010439190912,Orbital,gaiadr3.nss_two_body_orbit,127.73539631364773,19.157179,,v2_main,237,60,500,-0.6588,,,SYNTHETIC,0.0,SPURIOUS,orbit_reality,epoch_astrometry_f2,HIGH,synthetic,False,False,False,False,False,False,True,day1_verdict.v1,epoch_vet_harness,M8 SYNTHETIC rehearsal store (d3_effect); NOT a measurement,5,SYNTHETIC,SYNTHETIC,SYNTHETIC,2026-08-24T16:06:18Z,m8_synth_d3_effect_seed20261202,"synthetic effect store, scenario d3_effect"
1342378666723266304,"SYNTHETIC (M8 rehearsal, not a real release)",1342378666723266304,Orbital,gaiadr3.nss_two_body_orbit,818.753013251239,20.395765,,v2_main,184,60,500,3.4882,,,SYNTHETIC,0.0,SPURIOUS,orbit_reality,epoch_astrometry_f2,MEDIUM,synthetic,False,False,True,False,False,False,True,day1_verdict.v1,epoch_vet_harness,M8 SYNTHETIC rehearsal store (d3_effect); NOT a measurement,5,SYNTHETIC,SYNTHETIC,SYNTHETIC,2026-08-24T16:06:18Z,m8_synth_d3_effect_seed20261202,"synthetic effect store, scenario d3_effect"
4970585103570821376,"SYNTHETIC (M8 rehearsal, not a real release)",4970585103570821376,Orbital,gaiadr3.nss_two_body_orbit,856.1195402857727,23.978706,,v2_main,368,60,500,2.8,,,SYNTHETIC,0.0,SPURIOUS,orbit_reality,epoch_astrometry_f2,MEDIUM,synthetic,False,False,False,False,False,False,True,day1_verdict.v1,epoch_vet_harness,M8 SYNTHETIC rehearsal store (d3_effect); NOT a measurement,5,SYNTHETIC,SYNTHETIC,SYNTHETIC,2026-08-24T16:06:18Z,m8_synth_d3_effect_seed20261202,"synthetic effect store, scenario d3_effect"
1579254496872812032,"SYNTHETIC (M8 rehearsal, not a real release)",1579254496872812032,Orbital,gaiadr3.nss_two_body_orbit,601.4623670644385,64.75066,,v2_main,333,60,500,6.654,,,SYNTHETIC,0.0,CONFIRMED,orbit_reality,epoch_astrometry_f2,MEDIUM,synthetic,False,False,False,False,False,False,False,day1_verdict.v1,epoch_vet_harness,M8 SYNTHETIC rehearsal store (d3_effect); NOT a measurement,5,SYNTHETIC,SYNTHETIC,SYNTHETIC,2026-08-24T16:06:18Z,m8_synth_d3_effect_seed20261202,"synthetic effect store, scenario d3_effect"
1464711807899087872,"SYNTHETIC (M8 rehearsal, not a real release)",1464711807899087872,Orbital,gaiadr3.nss_two_body_orbit,847.2039967977466,50.585835,,v2_main,544,60,500,16.7908,,,SYNTHETIC,0.0,CONFIRMED,orbit_reality,epoch_astrometry_f2,HIGH,synthetic,False,False,False,False,False,False,False,day1_verdict.v1,epoch_vet_harness,M8 SYNTHETIC rehearsal store (d3_effect); NOT a measurement,5,SYNTHETIC,SYNTHETIC,SYNTHETIC,2026-08-24T16:06:18Z,m8_synth_d3_effect_seed20261202,"synthetic effect store, scenario d3_effect"
5933215127248291456,"SYNTHETIC (M8 rehearsal, not a real release)",5933215127248291456,Orbital,gaiadr3.nss_two_body_orbit,833.2210330838159,34.509766,,v2_main,608,60,500,3.0706,,,SYNTHETIC,0.0,SPURIOUS,orbit_reality,epoch_astrometry_f2,MEDIUM,synthetic,False,True,False,False,False,False,True,day1_verdict.v1,epoch_vet_harness,M8 SYNTHETIC rehearsal store (d3_effect); NOT a measurement,5,SYNTHETIC,SYNTHETIC,SYNTHETIC,2026-08-24T16:06:18Z,m8_synth_d3_effect_seed20261202,"synthetic effect store, scenario d3_effect"
1919775721898098688,"SYNTHETIC (M8 rehearsal, not a real release)",1919775721898098688,Orbital,gaiadr3.nss_two_body_orbit,754.941790181835,73.42678,,v2_main,476,60,500,9.0675,,,SYNTHETIC,0.0,CONFIRMED,orbit_reality,epoch_astrometry_f2,MEDIUM,synthetic,False,False,False,False,False,False,False,day1_verdict.v1,epoch_vet_harness,M8 SYNTHETIC rehearsal store (d3_effect); NOT a measurement,5,SYNTHETIC,SYNTHETIC,SYNTHETIC,2026-08-24T16:06:18Z,m8_synth_d3_effect_seed20261202,"synthetic effect store, scenario d3_effect"
3403056073573564160,"SYNTHETIC (M8 rehearsal, not a real release)",3403056073573564160,Orbital,gaiadr3.nss_two_body_orbit,891.8801038253795,10.962963,,v2_main,334,60,500,1.5532,,,SYNTHETIC,0.0,SPURIOUS,orbit_reality,epoch_astrometry_f2,HIGH,synthetic,False,True,False,False,False,False,False,day1_verdict.v1,epoch_vet_harness,M8 SYNTHETIC rehearsal store (d3_effect); NOT a measurement,5,SYNTHETIC,SYNTHETIC,SYNTHETIC,2026-08-24T16:06:18Z,m8_synth_d3_effect_seed20261202,"synthetic effect store, scenario d3_effect"
6140530793386059264,"SYNTHETIC (M8 rehearsal, not a real release)",6140530793386059264,Orbital,gaiadr3.nss_two_body_orbit,607.2362625692613,44.462646,,v2_main,515,60,500,19.4174,,,SYNTHETIC,0.0,CONFIRMED,orbit_reality,epoch_astrometry_f2,HIGH,synthetic,False,False,False,False,False,False,False,day1_verdict.v1,epoch_vet_harness,M8 SYNTHETIC rehearsal store (d3_effect); NOT a measurement,5,SYNTHETIC,SYNTHETIC,SYNTHETIC,2026-08-24T16:06:18Z,m8_synth_d3_effect_seed20261202,"synthetic effect store, scenario d3_effect"
4534069465403072640,"SYNTHETIC (M8 rehearsal, not a real release)",4534069465403072640,Orbital,gaiadr3.nss_two_body_orbit,773.6324113175378,115.29577,,v2_main,180,60,500,10.9298,,,SYNTHETIC,0.0,CONFIRMED,orbit_reality,epoch_astrometry_f2,HIGH,synthetic,False,False,False,False,False,False,False,day1_verdict.v1,epoch_vet_harness,M8 SYNTHETIC rehearsal store (d3_effect); NOT a measurement,5,SYNTHETIC,SYNTHETIC,SYNTHETIC,2026-08-24T16:06:18Z,m8_synth_d3_effect_seed20261202,"synthetic effect store, scenario d3_effect"
