rank_score,oid,STATUS,arm,ra,dec,gal_b,channel,reason,mag_at_pass,band_at_pass,amp,ptp_band,n_outburst_episodes,brightest_ever_mag,hist_span_days,neg_frac,n_neg,n_conf,n_clean,n_alerts,ndethist,drb,sgscore1,distpsnr1,distnr,magnr,gaia_DR3Name,gaia_Gmag,gaia_Plx,gaia_BP-RP,JK,gaiavar_Class,vsx_Name,vsx_Type,vsx_sep,atlasvs_Class,atlasvs_sep,ps1_sep,flag_vsx,flag_gcvs,flag_known_cv,flag_simbad,simbad,tns_nearest,tns_sep_arcsec,probably,outburst_history,fink_link,first_pass_jd
3.5,ZTF18abdciiz,MATTHEW-GATED -- NOT REPORTED TO TNS,E2_outburst,281.6493595,0.9225589,1.4975973940427816,A1_cv_outburst,"outburst on a PS1 point source 0.08"" away [galactic plane]",17.231909,g,5.511,2.415,8,13.68,2995.92,0.0,0.0,144.0,144,145,3336.0,0.99999523,0.5,0.08146511,0.07558836,21.441,Gaia DR3 4278583992932562048,16.814945,1.0617,2.568714,3.01,LPV,Gaia DR2 4278583992932562048,TTS,0.2,,,0.08,TTS,,,,TTauri*,AT 2026lck,4176.92,"a point source has brightened by 5.5 mag above its quiescent level in the galactic plane (|b| = 1.5 deg), now at mag 17.2, varying 2.42 mag peak-to-peak within one band; dwarf-nova outburst or classical nova. a Gaia DR3 star sits at this position (G=16.814945). VERY RED (J-K > 1, BP-RP > 2) -- the classic Mira false positive; colour-check before doing anything.",MJD 58944.5-59165.1 peak 14.58 (91 det) | MJD 59248.6-59531.1 peak 13.68 (192 det) | MJD 59622.5-59638.5 peak 14.51 (30 det) | MJD 59671.5-59898.1 peak 14.09 (136 det) | MJD 59971.6-60260.1 peak 14.02 (178 det) | MJD 60354.5-60627.1 peak 14.42 (212 det) | MJD 60699.6-60989.1 peak 14.45 (282 det) | MJD 61060.6-61276.2 peak 14.03 (355 det),https://fink-portal.org/ZTF18abdciiz,2461214.9208333
3.136,ZTF18accebtg,MATTHEW-GATED -- NOT REPORTED TO TNS,E2_outburst,286.2206069,9.2507677,1.2492312803131886,A1_cv_outburst,"outburst on a PS1 point source 0.35"" away [galactic plane]",18.929834,r,2.795,0.035,4,18.93,2850.14,0.0,0.0,2.0,2,2,52.0,0.9999858,0.810798,0.35176402,0.26129687,21.725,,,,,,,,,,,,0.35,,,,,Unknown,AT 2025aaxa,10071.16,"a point source has brightened by 2.8 mag above its quiescent level in the galactic plane (|b| = 1.2 deg), now at mag 18.9, varying 0.04 mag peak-to-peak within one band; dwarf-nova outburst or classical nova. no Gaia DR3 counterpart within 3 arcsec, so the quiescent source is fainter than G~21 -- consistent with a CV or nova progenitor.",MJD 59894.2-59894.2 peak 19.66 (1 det) | MJD 60245.2-60251.2 peak 19.20 (2 det) | MJD 60705.6-60708.6 peak 19.06 (6 det) | MJD 61274.3-61275.2 peak 18.93 (2 det),https://fink-portal.org/ZTF18accebtg,2461275.7253819
2.908,ZTF26abqfrmo,MATTHEW-GATED -- NOT REPORTED TO TNS,E1_new,291.684564,7.8798187,-4.17126264222843,A1_cv_outburst,"outburst on a PS1 point source 1.52"" away [galactic plane]",18.775368,r,2.053,0.173,1,18.78,0.03,0.0,0.0,3.0,3,3,2.0,0.98435736,0.5,1.5217028,1.3217356,20.828,Gaia DR3 4296157246756534528,20.386669,0.2267,1.576569,0.49,,,,,,,1.52,,,,,Unknown,AT 2026kml,6768.94,"a point source has brightened by 2.1 mag above its quiescent level in the galactic plane (|b| = 4.2 deg), now at mag 18.8, varying 0.17 mag peak-to-peak within one band; dwarf-nova outburst or classical nova. a Gaia DR3 star sits at this position (G=20.386669).",MJD 61275.2-61276.2 peak 18.78 (3 det),https://fink-portal.org/ZTF26abqfrmo,2461275.7545486
2.504,ZTF18abimytv,MATTHEW-GATED -- NOT REPORTED TO TNS,E2_outburst,287.3283554,-8.2509021,-7.704574181602491,A1_cv_outburst,"outburst on a PS1 point source 0.13"" away [galactic plane]",18.82244,r,2.511,2.548,15,16.14,2958.88,0.0476,1.0,21.0,20,21,768.0,0.9999994,0.570387,0.12791897,0.16916502,19.292,Gaia DR3 4204350392363859584,18.083979,1.1955,1.887604,1.2,YSO,ZTF18abimytv,YSO,0.16,,,0.13,YSO,,,,Unknown,AT 2026ilr,1493.31,"a point source has brightened by 2.5 mag above its quiescent level in the galactic plane (|b| = 7.7 deg), now at mag 18.8, varying 2.55 mag peak-to-peak within one band; dwarf-nova outburst or classical nova. a Gaia DR3 star sits at this position (G=18.083979).",MJD 60036.5-60140.3 peak 16.64 (20 det) | MJD 60195.2-60245.2 peak 16.76 (11 det) | MJD 60354.6-60354.6 peak 18.64 (1 det) | MJD 60407.5-60609.1 peak 16.34 (51 det) | MJD 60728.5-60728.6 peak 17.66 (3 det) | MJD 60761.5-60786.4 peak 16.53 (6 det) | MJD 60817.4-60987.1 peak 16.14 (77 det) | MJD 61126.5-61275.2 peak 16.24 (57 det),https://fink-portal.org/ZTF18abimytv,2461218.7995255
2.201,ZTF19aaocygn,MATTHEW-GATED -- NOT REPORTED TO TNS,E2_outburst,277.2091978,0.1637724,5.101933622464191,A1_cv_outburst,"outburst on a PS1 point source 0.20"" away [galactic plane]",18.182362,r,2.644,1.287,13,16.9,2829.38,0.0,0.0,44.0,44,44,1216.0,0.9998177,0.980804,0.20065065,0.19454968,20.25,Gaia DR3 4273221155026202368,18.921249,2.2096,2.81905,2.7,YSO,MGAB-V2145,YSO,0.25,,,0.2,YSO,,,,OrionV*,AT 2026mkq,12667.4,"a point source has brightened by 2.6 mag above its quiescent level in the galactic plane (|b| = 5.1 deg), now at mag 18.2, varying 1.29 mag peak-to-peak within one band; dwarf-nova outburst or classical nova. a Gaia DR3 star sits at this position (G=18.921249). VERY RED (J-K > 1, BP-RP > 2) -- the classic Mira false positive; colour-check before doing anything.",MJD 59683.4-59683.4 peak 19.12 (1 det) | MJD 59755.3-59783.4 peak 19.66 (3 det) | MJD 59844.2-59879.1 peak 19.23 (7 det) | MJD 60118.4-60238.1 peak 17.89 (25 det) | MJD 60391.4-60609.1 peak 17.55 (47 det) | MJD 60694.6-60710.6 peak 17.74 (9 det) | MJD 60756.5-60976.1 peak 17.90 (41 det) | MJD 61077.6-61276.2 peak 17.63 (103 det),https://fink-portal.org/ZTF19aaocygn,2461216.991169
2.188,ZTF24abuzrht,MATTHEW-GATED -- NOT REPORTED TO TNS,E2_outburst,6.2955274,-18.5413723,-79.50142572562312,A1_cv_outburst,"outburst on a PS1 point source 0.14"" away",19.837908,g,2.569,1.32,1,18.86,1784.01,0.0,0.0,8.0,8,9,11.0,0.9999701,0.983625,0.1353829,0.106251724,21.499,,,,,,,,,,,,0.14,,,,,Unknown,AT 2025adgt,1591.19,"a point source has brightened by 2.6 mag above its quiescent level at |b| = 79.5 deg, now at mag 19.8, varying 1.32 mag peak-to-peak within one band; dwarf-nova outburst or a flare star. no Gaia DR3 counterpart within 3 arcsec, so the quiescent source is fainter than G~21 -- consistent with a CV or nova progenitor.",MJD 61243.4-61275.4 peak 18.86 (9 det),https://fink-portal.org/ZTF24abuzrht,2461244.9391319
1.941,ZTF19adhngbf,MATTHEW-GATED -- NOT REPORTED TO TNS,E2_outburst,279.215931,7.2588081,6.529736275666981,A1_cv_outburst,"outburst on a PS1 point source 0.26"" away [galactic plane]",19.363644,r,1.243,0.888,6,19.25,2635.77,0.0,0.0,29.0,28,29,337.0,0.9988842,0.87275,0.25735727,3.2335377,17.929,Gaia DR3 4286688699314124928,19.398945,-0.0522,0.888029,,,,,,,,0.26,,,,,Fail 500,AT 2026qjj,1888.13,"a point source has brightened by 1.2 mag above its quiescent level in the galactic plane (|b| = 6.5 deg), now at mag 19.4, varying 0.89 mag peak-to-peak within one band; dwarf-nova outburst or classical nova. a Gaia DR3 star sits at this position (G=19.398945).",MJD 59700.5-59846.2 peak 19.25 (19 det) | MJD 60103.3-60110.3 peak 19.76 (2 det) | MJD 60191.2-60191.2 peak 19.77 (1 det) | MJD 60832.5-60861.4 peak 19.32 (2 det) | MJD 61059.6-61059.6 peak 19.28 (1 det) | MJD 61111.5-61275.2 peak 19.29 (55 det),https://fink-portal.org/ZTF19adhngbf,2461217.7734259
1.727,ZTF18aazsprm,MATTHEW-GATED -- NOT REPORTED TO TNS,E2_outburst,278.5320218,4.1083553,5.719068829240465,A1_cv_outburst,"outburst on a PS1 point source 0.07"" away [galactic plane]",16.341087,r,2.121,0.757,11,15.78,2969.82,0.0,0.0,77.0,77,77,1617.0,1.0,0.942833,0.06807689,0.20304747,18.312,Gaia DR3 4283399677767438976,19.297482,0.019,1.907204,3.21,,Gaia18aji,YSO,0.1,,,0.07,YSO,,,,Unknown,AT 2026npj,4339.23,"a point source has brightened by 2.1 mag above its quiescent level in the galactic plane (|b| = 5.7 deg), now at mag 16.3, varying 0.76 mag peak-to-peak within one band; dwarf-nova outburst or classical nova. a Gaia DR3 star sits at this position (G=19.297482).",MJD 59249.6-59521.1 peak 16.33 (114 det) | MJD 59622.5-59638.5 peak 17.39 (23 det) | MJD 59671.5-59898.1 peak 16.02 (122 det) | MJD 59971.6-60260.1 peak 15.78 (132 det) | MJD 60354.5-60627.1 peak 16.58 (88 det) | MJD 60694.6-60739.5 peak 17.46 (12 det) | MJD 60774.5-60948.2 peak 16.83 (33 det) | MJD 61059.6-61276.3 peak 16.22 (179 det),https://fink-portal.org/ZTF18aazsprm,2461217.7734259
1.557,ZTF18adljcle,MATTHEW-GATED -- NOT REPORTED TO TNS,E2_outburst,275.8525071,13.5187961,12.24863569815378,A1_cv_outburst,"outburst on a PS1 point source 0.09"" away [galactic plane]",19.317085,r,1.345,0.038,15,19.22,3020.79,0.0,0.0,2.0,2,2,307.0,0.9999994,0.547687,0.094597846,1.8590721,20.662,Gaia DR3 4485455834383579008,19.157475,,0.480038,,,,,,,,0.09,,,,,Unknown,AT 2026rnu,2398.97,"a point source has brightened by 1.3 mag above its quiescent level in the galactic plane (|b| = 12.2 deg), now at mag 19.3, varying 0.04 mag peak-to-peak within one band; dwarf-nova outburst or classical nova. a Gaia DR3 star sits at this position (G=19.157475).",MJD 60203.2-60203.2 peak 19.37 (1 det) | MJD 60237.2-60237.2 peak 19.90 (1 det) | MJD 60510.3-60537.2 peak 19.22 (3 det) | MJD 60797.5-60797.5 peak 20.17 (1 det) | MJD 60867.3-60898.2 peak 19.35 (4 det) | MJD 60953.2-60953.2 peak 19.26 (1 det) | MJD 61205.4-61230.3 peak 19.36 (2 det) | MJD 61275.2-61275.2 peak 19.32 (1 det),https://fink-portal.org/ZTF18adljcle,2461275.7076736
1.474,ZTF22aavufkm,MATTHEW-GATED -- NOT REPORTED TO TNS,E2_outburst,339.7459705,-17.568425,-58.02850198935624,A1_cv_outburst,"outburst on a PS1 point source 0.23"" away",19.330023,r,1.84,0.475,3,18.86,1489.87,0.0,0.0,3.0,3,3,19.0,0.99999875,0.877521,0.23051952,0.06213128,20.695,,,,,,,,,,,,0.23,,,,,RadioG,AT 2026upg,1741.23,"a point source has brightened by 1.8 mag above its quiescent level at |b| = 58.0 deg, now at mag 19.3, varying 0.47 mag peak-to-peak within one band; dwarf-nova outburst or a flare star. no Gaia DR3 counterpart within 3 arcsec, so the quiescent source is fainter than G~21 -- consistent with a CV or nova progenitor.",MJD 59784.4-59784.4 peak 20.23 (1 det) | MJD 59879.3-59879.3 peak 19.59 (1 det) | MJD 61270.4-61275.4 peak 18.86 (3 det),https://fink-portal.org/ZTF22aavufkm,2461274.8129282
